2024-08-28 18:30:32 [ INFO ] conftest.py:19 | 测试用例idtestcase/test_03_goods.py::test_goods[goodsdata0]
2024-08-28 18:30:32 [ INFO ] conftest.py:20 | 测试结果passed
2024-08-28 18:30:32 [ INFO ] conftest.py:21 | 故障None
2024-08-28 18:30:32 [ INFO ] conftest.py:22 | 异常None
2024-08-28 18:30:32 [ INFO ] conftest.py:23 | ~~~~~~~~~~~~~~~~~~~~~~
2024-08-28 18:30:32 [ INFO ] conftest.py:19 | 测试用例idtestcase/test_03_goods.py::test_goods[goodsdata1]
2024-08-28 18:30:32 [ INFO ] conftest.py:20 | 测试结果passed
2024-08-28 18:30:32 [ INFO ] conftest.py:21 | 故障None
2024-08-28 18:30:32 [ INFO ] conftest.py:22 | 异常None
2024-08-28 18:30:32 [ INFO ] conftest.py:23 | ~~~~~~~~~~~~~~~~~~~~~~
2024-08-28 18:30:32 [ INFO ] conftest.py:19 | 测试用例idtestcase/test_03_goods.py::test_goods[goodsdata2]
2024-08-28 18:30:32 [ INFO ] conftest.py:20 | 测试结果passed
2024-08-28 18:30:32 [ INFO ] conftest.py:21 | 故障None
2024-08-28 18:30:32 [ INFO ] conftest.py:22 | 异常None
2024-08-28 18:30:32 [ INFO ] conftest.py:23 | ~~~~~~~~~~~~~~~~~~~~~~
2024-08-28 18:30:33 [ INFO ] conftest.py:19 | 测试用例idtestcase/test_04_cart.py::test_cart[cartdata0]
2024-08-28 18:30:33 [ INFO ] conftest.py:20 | 测试结果passed
2024-08-28 18:30:33 [ INFO ] conftest.py:21 | 故障None
2024-08-28 18:30:33 [ INFO ] conftest.py:22 | 异常None
2024-08-28 18:30:33 [ INFO ] conftest.py:23 | ~~~~~~~~~~~~~~~~~~~~~~
2024-08-28 18:30:33 [ INFO ] conftest.py:19 | 测试用例idtestcase/test_04_cart.py::test_cart[cartdata1]
2024-08-28 18:30:33 [ INFO ] conftest.py:20 | 测试结果passed
2024-08-28 18:30:33 [ INFO ] conftest.py:21 | 故障None
2024-08-28 18:30:33 [ INFO ] conftest.py:22 | 异常None
2024-08-28 18:30:33 [ INFO ] conftest.py:23 | ~~~~~~~~~~~~~~~~~~~~~~
2024-08-28 18:30:33 [ INFO ] conftest.py:19 | 测试用例idtestcase/test_04_cart.py::test_cart[cartdata2]
2024-08-28 18:30:33 [ INFO ] conftest.py:20 | 测试结果passed
2024-08-28 18:30:33 [ INFO ] conftest.py:21 | 故障None
2024-08-28 18:30:33 [ INFO ] conftest.py:22 | 异常None
2024-08-28 18:30:33 [ INFO ] conftest.py:23 | ~~~~~~~~~~~~~~~~~~~~~~
2024-08-28 18:30:33 [ INFO ] conftest.py:19 | 测试用例idtestcase/test_04_cart.py::test_cart[cartdata3]
2024-08-28 18:30:33 [ INFO ] conftest.py:20 | 测试结果passed
2024-08-28 18:30:33 [ INFO ] conftest.py:21 | 故障None
2024-08-28 18:30:33 [ INFO ] conftest.py:22 | 异常None
2024-08-28 18:30:33 [ INFO ] conftest.py:23 | ~~~~~~~~~~~~~~~~~~~~~~
2024-08-28 18:30:34 [ INFO ] conftest.py:19 | 测试用例idtestcase/test_05_address.py::test_address[addressdata0]
2024-08-28 18:30:34 [ INFO ] conftest.py:20 | 测试结果passed
2024-08-28 18:30:34 [ INFO ] conftest.py:21 | 故障None
2024-08-28 18:30:34 [ INFO ] conftest.py:22 | 异常None
2024-08-28 18:30:34 [ INFO ] conftest.py:23 | ~~~~~~~~~~~~~~~~~~~~~~
2024-08-28 18:30:34 [ INFO ] conftest.py:19 | 测试用例idtestcase/test_05_address.py::test_address[addressdata1]
2024-08-28 18:30:34 [ INFO ] conftest.py:20 | 测试结果passed
2024-08-28 18:30:34 [ INFO ] conftest.py:21 | 故障None
2024-08-28 18:30:34 [ INFO ] conftest.py:22 | 异常None
2024-08-28 18:30:34 [ INFO ] conftest.py:23 | ~~~~~~~~~~~~~~~~~~~~~~
2024-08-28 18:30:34 [ INFO ] conftest.py:19 | 测试用例idtestcase/test_05_address.py::test_address[addressdata2]
2024-08-28 18:30:34 [ INFO ] conftest.py:20 | 测试结果passed
2024-08-28 18:30:34 [ INFO ] conftest.py:21 | 故障None
2024-08-28 18:30:34 [ INFO ] conftest.py:22 | 异常None
2024-08-28 18:30:34 [ INFO ] conftest.py:23 | ~~~~~~~~~~~~~~~~~~~~~~
2024-08-28 18:30:34 [ INFO ] conftest.py:19 | 测试用例idtestcase/test_05_address.py::test_address[addressdata3]
2024-08-28 18:30:34 [ INFO ] conftest.py:20 | 测试结果passed
2024-08-28 18:30:34 [ INFO ] conftest.py:21 | 故障None
2024-08-28 18:30:34 [ INFO ] conftest.py:22 | 异常None
2024-08-28 18:30:34 [ INFO ] conftest.py:23 | ~~~~~~~~~~~~~~~~~~~~~~
2024-08-28 18:30:35 [ INFO ] conftest.py:19 | 测试用例idtestcase/test_05_address.py::test_address[addressdata4]
2024-08-28 18:30:35 [ INFO ] conftest.py:20 | 测试结果passed
2024-08-28 18:30:35 [ INFO ] conftest.py:21 | 故障None
2024-08-28 18:30:35 [ INFO ] conftest.py:22 | 异常None
2024-08-28 18:30:35 [ INFO ] conftest.py:23 | ~~~~~~~~~~~~~~~~~~~~~~
2024-08-28 18:30:35 [ INFO ] conftest.py:19 | 测试用例idtestcase/test_05_address.py::test_address[addressdata5]
2024-08-28 18:30:35 [ INFO ] conftest.py:20 | 测试结果passed
2024-08-28 18:30:35 [ INFO ] conftest.py:21 | 故障None
2024-08-28 18:30:35 [ INFO ] conftest.py:22 | 异常None
2024-08-28 18:30:35 [ INFO ] conftest.py:23 | ~~~~~~~~~~~~~~~~~~~~~~
2024-08-28 18:30:35 [ INFO ] conftest.py:19 | 测试用例idtestcase/test_06_order.py::test_order[orderdata0]
2024-08-28 18:30:35 [ INFO ] conftest.py:20 | 测试结果passed
2024-08-28 18:30:35 [ INFO ] conftest.py:21 | 故障None
2024-08-28 18:30:35 [ INFO ] conftest.py:22 | 异常None
2024-08-28 18:30:35 [ INFO ] conftest.py:23 | ~~~~~~~~~~~~~~~~~~~~~~
2024-08-28 18:30:35 [ INFO ] conftest.py:19 | 测试用例idtestcase/test_06_order.py::test_order[orderdata1]
2024-08-28 18:30:35 [ INFO ] conftest.py:20 | 测试结果passed
2024-08-28 18:30:35 [ INFO ] conftest.py:21 | 故障None
2024-08-28 18:30:35 [ INFO ] conftest.py:22 | 异常None
2024-08-28 18:30:35 [ INFO ] conftest.py:23 | ~~~~~~~~~~~~~~~~~~~~~~
2024-08-28 18:30:35 [ INFO ] conftest.py:19 | 测试用例idtestcase/test_06_order.py::test_order[orderdata2]
2024-08-28 18:30:35 [ INFO ] conftest.py:20 | 测试结果passed
2024-08-28 18:30:35 [ INFO ] conftest.py:21 | 故障None
2024-08-28 18:30:35 [ INFO ] conftest.py:22 | 异常None
2024-08-28 18:30:35 [ INFO ] conftest.py:23 | ~~~~~~~~~~~~~~~~~~~~~~
2024-08-28 18:30:36 [ INFO ] conftest.py:19 | 测试用例idtestcase/test_06_order.py::test_order[orderdata3]
2024-08-28 18:30:36 [ INFO ] conftest.py:20 | 测试结果passed
2024-08-28 18:30:36 [ INFO ] conftest.py:21 | 故障None
2024-08-28 18:30:36 [ INFO ] conftest.py:22 | 异常None
2024-08-28 18:30:36 [ INFO ] conftest.py:23 | ~~~~~~~~~~~~~~~~~~~~~~
